date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:56	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Sep%202024%2018:38:55%20GMT	https://wuzzi.net/robots.txt		(from )
13:38:57	8598/8598	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-2196%22	https://wuzzi.net/posts/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/index.html	(from )
13:38:57	10434/10434	---M--	200	added ('OK')	text/css	etag:%2264efd61b-28c2%22	https://wuzzi.net/posts/dist/site.css	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/dist/site.css	(from https://wuzzi.net/posts/)
13:38:58	1836/1836	---M--	200	added ('OK')	text/css	etag:%2264efd61b-72c%22	https://wuzzi.net/posts/dist/syntax.css	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/dist/syntax.css	(from https://wuzzi.net/posts/)
13:38:59	10267/10267	---M--	200	added ('OK')	text/xml	etag:%2264efd61b-281b%22	https://wuzzi.net/posts/index.xml	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/index.xml	(from https://wuzzi.net/posts/)
13:39:00	95957/95957	---M--	200	added ('OK')	application/javascript	etag:%2264efd61b-176d5%22	https://wuzzi.net/posts/js/jquery-1.11.3.min.js	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/js/jquery-1.11.3.min.js	(from https://wuzzi.net/posts/)
13:39:01	5140/5140	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1414%22	https://wuzzi.net/posts/static-data-ex/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/static-data-ex/index.html	(from https://wuzzi.net/posts/)
13:39:01	4813/4813	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-12cd%22	https://wuzzi.net/posts/data-archival/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/data-archival/index.html	(from https://wuzzi.net/posts/)
13:39:01	7023/7023	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1b6f%22	https://wuzzi.net/posts/static-text-basic/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/static-text-basic/index.html	(from https://wuzzi.net/posts/)
13:39:01	6840/6840	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1ab8%22	https://wuzzi.net/posts/data-exfiltration-framing/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/data-exfiltration-framing/index.html	(from https://wuzzi.net/posts/)
13:39:02	3261/3261	---M--	200	added ('OK')	application/javascript	etag:%2264efd61b-cbd%22	https://wuzzi.net/posts/js/jquery.fitvids.js	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/js/jquery.fitvids.js	(from https://wuzzi.net/posts/)
13:39:03	539/539	---M--	200	added ('OK')	application/javascript	etag:%2264efd61b-21b%22	https://wuzzi.net/posts/js/scripts.js	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/js/scripts.js	(from https://wuzzi.net/posts/)
13:39:38	7964/7964	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1f1c%22	https://wuzzi.net/posts/svg/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/svg/index.html	(from https://wuzzi.net/posts/)
13:39:38	9459/9459	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-24f3%22	https://wuzzi.net/posts/svg-inline/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/svg-inline/index.html	(from https://wuzzi.net/posts/)
13:39:38	7826/7826	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1e92%22	https://wuzzi.net/posts/sqlserver/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/sqlserver/index.html	(from https://wuzzi.net/posts/)
13:39:38	7796/7796	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1e74%22	https://wuzzi.net/posts/data-exfiltration-option-markdown/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/data-exfiltration-option-markdown/index.html	(from https://wuzzi.net/posts/)
13:40:13	8064/8064	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1f80%22	https://wuzzi.net/posts/data-exfiltration/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/data-exfiltration/index.html	(from https://wuzzi.net/posts/)
13:40:13	8083/8083	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1f93%22	https://wuzzi.net/posts/data-exfiltration-simple-copy/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/data-exfiltration-simple-copy/index.html	(from https://wuzzi.net/posts/)
13:40:13	6071/6071	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-17b7%22	https://wuzzi.net/posts/playground/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/playground/index.html	(from https://wuzzi.net/posts/)
13:40:13	7599/7599	---MCZ	200	added ('OK')	text/html	etag:W/%2264efd61b-1daf%22	https://wuzzi.net/posts/introduction/	/Users/red/Downloads/wuzzi-download/wuzzi.net/posts/introduction/index.html	(from https://wuzzi.net/posts/)
